BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,DESCRIPTION,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2016,2016Q4,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,783.14,0
,OFFICE OF THE SPEAKER,2016,2016Q4,OFFICIAL EXPENSES - LEADERSHIP,OFFICIAL EXPENSES - LEADERSHIP TOTALS:,783.14,0
,OFFICE OF THE SPEAKER,2016,2016Q4,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,5885015.52,1544317.39
,OFFICE OF THE SPEAKER,2016,2016Q4,GENERAL EXPENDITURES,TRAVEL,4924.79,306.23
,OFFICE OF THE SPEAKER,2016,2016Q4,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,8917.78,8622.5
,OFFICE OF THE SPEAKER,2016,2016Q4,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1670.6,396.7
,OFFICE OF THE SPEAKER,2016,2016Q4,GENERAL EXPENDITURES,OTHER SERVICES,25505.77,5047.81
,OFFICE OF THE SPEAKER,2016,2016Q4,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,173150.71,51664.97
,OFFICE OF THE SPEAKER,2016,2016Q4,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,6099185.17,1610355.6
,OFFICE OF THE SPEAKER,2016,2016Q4,GENERAL EXPENDITURES,OFFICE TOTALS:,6099968.31,1610355.6
,OFFICE OF THE MAJORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2086525,558375
,OFFICE OF THE MAJORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,TRAVEL,1452.21,70.03
,OFFICE OF THE MAJORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,1651.39,1112.34
,OFFICE OF THE MAJORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1681.81,282.8
,OFFICE OF THE MAJORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,35605.99,5673.71
,OFFICE OF THE MAJORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,EQUIPMENT,3500,0
,OFFICE OF THE MAJORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,2130416.4,565513.88
,OFFICE OF THE MAJORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,OFFICE TOTALS:,2130416.4,565513.88
,OFFICE OF THE MINORITY LEADER,2016,2016Q4,OFFICIAL EXPENSES - LEADERSHIP,PERSONNEL BENEFITS,3114,0
,OFFICE OF THE MINORITY LEADER,2016,2016Q4,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,5335.92,0
,OFFICE OF THE MINORITY LEADER,2016,2016Q4,OFFICIAL EXPENSES - LEADERSHIP,OFFICIAL EXPENSES - LEADERSHIP TOTALS:,8449.92,0
,OFFICE OF THE MINORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,5599087,1503502.73
,OFFICE OF THE MINORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,TRAVEL,69532.25,25923.11
,OFFICE OF THE MINORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,1483.76,510.47
,OFFICE OF THE MINORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,13337.16,3531.41
