BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2016,2016Q3,SUPPLIES AND MATERIALS,783.14,403.14
,OFFICE OF THE SPEAKER,2016,2016Q3,PERSONNEL COMPENSATION,"4,340,698.13","1,470,556.14"
,OFFICE OF THE SPEAKER,2016,2016Q3,TRAVEL,"4,618.56","4,468.44"
,OFFICE OF THE SPEAKER,2016,2016Q3,"RENT, COMMUNICATION, UTILITIES",295.28,97.53
,OFFICE OF THE SPEAKER,2016,2016Q3,PRINTING AND REPRODUCTION,"1,273.90",271.00
,OFFICE OF THE SPEAKER,2016,2016Q3,OTHER SERVICES,"20,457.96","17,881.25"
,OFFICE OF THE SPEAKER,2016,2016Q3,SUPPLIES AND MATERIALS,"121,485.74","70,666.49"
,OFFICE OF THE SPEAKER,2016,2016Q3,EQUIPMENT,0.00,-148.03
,OFFICE OF THE MAJORITY LEADER,2016,2016Q3,PERSONNEL COMPENSATION,"1,528,150.00","530,125.00"
,OFFICE OF THE MAJORITY LEADER,2016,2016Q3,TRAVEL,"1,382.18",0.00
,OFFICE OF THE MAJORITY LEADER,2016,2016Q3,"RENT, COMMUNICATION, UTILITIES",539.05,429.45
,OFFICE OF THE MAJORITY LEADER,2016,2016Q3,PRINTING AND REPRODUCTION,"1,399.01",496.40
,OFFICE OF THE MAJORITY LEADER,2016,2016Q3,OTHER SERVICES,0.00,"-2,250.00"
,OFFICE OF THE MAJORITY LEADER,2016,2016Q3,SUPPLIES AND MATERIALS,"29,932.28","7,939.98"
,OFFICE OF THE MAJORITY LEADER,2016,2016Q3,EQUIPMENT,"3,500.00","3,500.00"
,OFFICE OF THE MINORITY LEADER,2016,2016Q3,PERSONNEL BENEFITS,"3,114.00","3,114.00"
,OFFICE OF THE MINORITY LEADER,2016,2016Q3,SUPPLIES AND MATERIALS,"5,335.92","5,335.92"
,OFFICE OF THE MINORITY LEADER,2016,2016Q3,PERSONNEL COMPENSATION,"4,095,584.27","1,369,982.91"
,OFFICE OF THE MINORITY LEADER,2016,2016Q3,TRAVEL,"43,609.14","12,459.09"
,OFFICE OF THE MINORITY LEADER,2016,2016Q3,"RENT, COMMUNICATION, UTILITIES",973.29,424.78
,OFFICE OF THE MINORITY LEADER,2016,2016Q3,PRINTING AND REPRODUCTION,"9,805.75","7,404.17"
,OFFICE OF THE MINORITY LEADER,2016,2016Q3,OTHER SERVICES,"69,274.00","24,384.00"
,OFFICE OF THE MINORITY LEADER,2016,2016Q3,SUPPLIES AND MATERIALS,"87,451.51","26,547.75"
,OFFICE OF THE MAJORITY WHIP,2016,2016Q3,PERSONNEL COMPENSATION,"1,283,167.07","433,469.28"
,OFFICE OF THE MAJORITY WHIP,2016,2016Q3,TRAVEL,"14,095.63","3,036.24"
,OFFICE OF THE MAJORITY WHIP,2016,2016Q3,"RENT, COMMUNICATION, UTILITIES",28.45,14.95
,OFFICE OF THE MAJORITY WHIP,2016,2016Q3,SUPPLIES AND MATERIALS,"13,261.12","2,775.24"
,OFFICE OF THE MINORITY WHIP,2016,2016Q3,PERSONNEL COMPENSATION,"1,664,229.01","562,533.40"
,OFFICE OF THE MINORITY WHIP,2016,2016Q3,TRAVEL,671.07,98.33
,OFFICE OF THE MINORITY WHIP,2016,2016Q3,"RENT, COMMUNICATION, UTILITIES",22.95,0.00
,OFFICE OF THE MINORITY WHIP,2016,2016Q3,PRINTING AND REPRODUCTION,12.95,12.95
,OFFICE OF THE MINORITY WHIP,2016,2016Q3,OTHER SERVICES,74.01,0.00
,OFFICE OF THE MINORITY WHIP,2016,2016Q3,SUPPLIES AND MATERIALS,169.79,0.00
,DEMOCRATIC CAUCUS,2016,2016Q3,PERSONNEL COMPENSATION,"922,879.58","305,701.34"
,DEMOCRATIC CAUCUS,2016,2016Q3,TRAVEL,"3,407.08",797.50
,DEMOCRATIC CAUCUS,2016,2016Q3,"RENT, COMMUNICATION, UTILITIES","1,153.78",184.94
,DEMOCRATIC CAUCUS,2016,2016Q3,PRINTING AND REPRODUCTION,100.00,0.00
,DEMOCRATIC CAUCUS,2016,2016Q3,OTHER SERVICES,923.61,615.71
,DEMOCRATIC CAUCUS,2016,2016Q3,SUPPLIES AND MATERIALS,"58,019.00","16,203.36"
,REPUBLICAN CONFERENCE,2016,2016Q3,PERSONNEL COMPENSATION,"919,906.17","307,579.80"
,REPUBLICAN CONFERENCE,2016,2016Q3,TRAVEL,"8,219.53","3,726.62"
,REPUBLICAN CONFERENCE,2016,2016Q3,"RENT, COMMUNICATION, UTILITIES","6,929.79","4,997.64"
,REPUBLICAN CONFERENCE,2016,2016Q3,PRINTING AND REPRODUCTION,"19,736.97","17,322.45"
,REPUBLICAN CONFERENCE,2016,2016Q3,OTHER SERVICES,"41,150.00","17,000.00"
,REPUBLICAN CONFERENCE,2016,2016Q3,SUPPLIES AND MATERIALS,"75,912.78","31,449.33"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q3,EQUIPMENT,"2,631,282.18","529,724.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q3,PERSONNEL COMPENSATION,"57,733,145.90","14,693,246.17"
