BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
,2018 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,OTHER SERVICES,362,362
,2018 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,OFFICIAL EXPENSES - LEADERSHIP TOTALS:,362,362
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,133.07,133.07
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2693406.02,1255464.71
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,6684.98,4903.05
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,8503.68,6906.58
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1862.85,1211.25
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,24059.95,20397.33
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,80516.23,41109.35
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,4373,4373
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,2819539.78,1334498.34
,2018 OFFICE OF THE SPEAKER,CONFERENCE SECRETARY,PERSONNEL COMPENSATION,24999.99,24999.99
,2018 OFFICE OF THE SPEAKER,CONFERENCE SECRETARY,CONFERENCE SECRETARY TOTALS:,24999.99,24999.99
,2018 OFFICE OF THE SPEAKER,NRCC,PERSONNEL COMPENSATION,24999.99,24999.99
,2018 OFFICE OF THE SPEAKER,NRCC,NRCC TOTALS:,24999.99,24999.99
,2018 OFFICE OF THE SPEAKER,CONFERENCE VICE CHAIR,PERSONNEL COMPENSATION,24999.99,24999.99
,2018 OFFICE OF THE SPEAKER,CONFERENCE VICE CHAIR,CONFERENCE VICE CHAIR TOTALS:,24999.99,24999.99
,2018 OFFICE OF THE SPEAKER,REPUBLICAN POLICY COMMITTEE,PERSONNEL COMPENSATION,37400.01,37400.01
,2018 OFFICE OF THE SPEAKER,REPUBLICAN POLICY COMMITTEE,REPUBLICAN POLICY COMMITTEE TOTALS:,37400.01,37400.01
,2018 OFFICE OF THE SPEAKER,REPUBLICAN POLICY COMMITTEE,OFFICE TOTALS:,2932301.76,1447260.32
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,994180.04,529757.79
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,2206.77,564.65
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,7267.36,7169.36
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,214.7,169.8
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,9050,7880
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,23732.03,16637.83
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,276.4,276.4
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1036927.3,562455.83
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,1036927.3,562455.83
,2018 OFFICE OF THE MINORITY LEADER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,8821.05,8821.05
,2018 OFFICE OF THE MINORITY LEADER,OFFICIAL EXPENSES - LEADERSHIP,OFFICIAL EXPENSES - LEADERSHIP TOTALS:,8821.05,8821.05
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,FRANKED MAIL,5.15,5.15
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2813150.97,1439612.67
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,28513.7,20691.61
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,10055.61,10036.36
