BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2012,2012Q1,PERSONNEL BENEFITS,"6,249.99","6,249.99"
,OFFICE OF THE SPEAKER,2012,2012Q1,FRANKED MAIL,203.19,203.19
,OFFICE OF THE SPEAKER,2012,2012Q1,PERSONNEL COMPENSATION,"1,322,565.28","1,322,565.28"
,OFFICE OF THE SPEAKER,2012,2012Q1,TRAVEL,"1,355.42","1,355.42"
,OFFICE OF THE SPEAKER,2012,2012Q1,PRINTING AND REPRODUCTION,942.10,942.10
,OFFICE OF THE SPEAKER,2012,2012Q1,OTHER SERVICES,"6,165.50","6,165.50"
,OFFICE OF THE SPEAKER,2012,2012Q1,SUPPLIES AND MATERIALS,"14,278.91","14,278.91"
,OFFICE OF THE MAJORITY LEADER,2012,2012Q1,FRANKED MAIL,78.52,78.52
,OFFICE OF THE MAJORITY LEADER,2012,2012Q1,PERSONNEL COMPENSATION,"522,006.44","522,006.44"
,OFFICE OF THE MAJORITY LEADER,2012,2012Q1,TRAVEL,624.05,624.05
,OFFICE OF THE MAJORITY LEADER,2012,2012Q1,"RENT, COMMUNICATION, UTILITIES","1,051.81","1,051.81"
,OFFICE OF THE MAJORITY LEADER,2012,2012Q1,PRINTING AND REPRODUCTION,183.58,183.58
,OFFICE OF THE MAJORITY LEADER,2012,2012Q1,OTHER SERVICES,409.11,409.11
,OFFICE OF THE MAJORITY LEADER,2012,2012Q1,SUPPLIES AND MATERIALS,"46,704.26","46,704.26"
,OFFICE OF THE MINORITY LEADER,2012,2012Q1,FRANKED MAIL,103.57,103.57
,OFFICE OF THE MINORITY LEADER,2012,2012Q1,PERSONNEL COMPENSATION,"1,640,182.59","1,640,182.59"
,OFFICE OF THE MINORITY LEADER,2012,2012Q1,TRAVEL,"29,677.86","29,677.86"
,OFFICE OF THE MINORITY LEADER,2012,2012Q1,"RENT, COMMUNICATION, UTILITIES",601.00,601.00
,OFFICE OF THE MINORITY LEADER,2012,2012Q1,PRINTING AND REPRODUCTION,"1,197.87","1,197.87"
,OFFICE OF THE MINORITY LEADER,2012,2012Q1,OTHER SERVICES,"22,190.50","22,190.50"
,OFFICE OF THE MINORITY LEADER,2012,2012Q1,SUPPLIES AND MATERIALS,"25,751.62","25,751.62"
,OFFICE OF THE MAJORITY WHIP,2012,2012Q1,PERSONNEL COMPENSATION,"404,833.35","404,833.35"
,OFFICE OF THE MAJORITY WHIP,2012,2012Q1,"RENT, COMMUNICATION, UTILITIES",233.00,233.00
,OFFICE OF THE MAJORITY WHIP,2012,2012Q1,SUPPLIES AND MATERIALS,"18,538.70","18,538.70"
,OFFICE OF THE MINORITY WHIP,2012,2012Q1,FRANKED MAIL,23.88,23.88
