BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2018,Q1,PERSONNEL COMPENSATION,1437941.31,1437941.31
,OFFICE OF THE SPEAKER,2018,Q1,TRAVEL,1781.93,1781.93
,OFFICE OF THE SPEAKER,2018,Q1,RENT  COMMUNICATION  UTILITIES,1597.1,1597.1
,OFFICE OF THE SPEAKER,2018,Q1,PRINTING AND REPRODUCTION,651.6,651.6
,OFFICE OF THE SPEAKER,2018,Q1,OTHER SERVICES,3662.62,3662.62
,OFFICE OF THE SPEAKER,2018,Q1,SUPPLIES AND MATERIALS,39406.88,39406.88
,OFFICE OF THE SPEAKER,2018,Q1,GENERAL EXPENDITURES TOTALS:,1485041.44,1485041.44
,OFFICE OF THE SPEAKER,2018,Q1,OFFICE TOTALS:,1485041.44,1485041.44
,OFFICE OF THE MAJORITY LEADER,2018,Q1,PERSONNEL COMPENSATION,464422.25,464422.25
,OFFICE OF THE MAJORITY LEADER,2018,Q1,TRAVEL,1642.12,1642.12
,OFFICE OF THE MAJORITY LEADER,2018,Q1,RENT  COMMUNICATION  UTILITIES,98,98
,OFFICE OF THE MAJORITY LEADER,2018,Q1,PRINTING AND REPRODUCTION,44.9,44.9
,OFFICE OF THE MAJORITY LEADER,2018,Q1,OTHER SERVICES,1170,1170
,OFFICE OF THE MAJORITY LEADER,2018,Q1,SUPPLIES AND MATERIALS,7094.2,7094.2
,OFFICE OF THE MAJORITY LEADER,2018,Q1,GENERAL EXPENDITURES TOTALS:,474471.47,474471.47
,OFFICE OF THE MAJORITY LEADER,2018,Q1,OFFICE TOTALS:,474471.47,474471.47
,OFFICE OF THE MINORITY LEADER,2018,Q1,PERSONNEL COMPENSATION,1373538.3,1373538.3
,OFFICE OF THE MINORITY LEADER,2018,Q1,TRAVEL,7822.09,7822.09
,OFFICE OF THE MINORITY LEADER,2018,Q1,RENT  COMMUNICATION  UTILITIES,19.25,19.25
,OFFICE OF THE MINORITY LEADER,2018,Q1,PRINTING AND REPRODUCTION,8140.14,8140.14
,OFFICE OF THE MINORITY LEADER,2018,Q1,OTHER SERVICES,7658.71,7658.71
,OFFICE OF THE MINORITY LEADER,2018,Q1,SUPPLIES AND MATERIALS,44808.9,44808.9
,OFFICE OF THE MINORITY LEADER,2018,Q1,GENERAL EXPENDITURES TOTALS:,1441987.39,1441987.39
,OFFICE OF THE MINORITY LEADER,2018,Q1,OFFICE TOTALS:,1441987.39,1441987.39
,OFFICE OF THE MAJORITY WHIP,2018,Q1,PERSONNEL COMPENSATION,408576.8,408576.8
,OFFICE OF THE MAJORITY WHIP,2018,Q1,TRAVEL,3662.68,3662.68
,OFFICE OF THE MAJORITY WHIP,2018,Q1,RENT  COMMUNICATION  UTILITIES,23.9,23.9
,OFFICE OF THE MAJORITY WHIP,2018,Q1,PRINTING AND REPRODUCTION,1071.98,1071.98
,OFFICE OF THE MAJORITY WHIP,2018,Q1,SUPPLIES AND MATERIALS,751.87,751.87
,OFFICE OF THE MAJORITY WHIP,2018,Q1,GENERAL EXPENDITURES TOTALS:,414087.23,414087.23
,OFFICE OF THE MAJORITY WHIP,2018,Q1,OFFICE TOTALS:,414087.23,414087.23
,OFFICE OF THE MINORITY WHIP,2018,Q1,PERSONNEL COMPENSATION,537977.85,537977.85
,OFFICE OF THE MINORITY WHIP,2018,Q1,RENT  COMMUNICATION  UTILITIES,8.35,8.35
,OFFICE OF THE MINORITY WHIP,2018,Q1,PRINTING AND REPRODUCTION,80,80
,OFFICE OF THE MINORITY WHIP,2018,Q1,GENERAL EXPENDITURES TOTALS:,538066.2,538066.2
,OFFICE OF THE MINORITY WHIP,2018,Q1,OFFICE TOTALS:,538066.2,538066.2
,DEMOCRATIC CAUCUS,2018,Q1,PERSONNEL COMPENSATION,351806,351806
,DEMOCRATIC CAUCUS,2018,Q1,TRAVEL,4836.61,4836.61
,DEMOCRATIC CAUCUS,2018,Q1,RENT  COMMUNICATION  UTILITIES,593.74,593.74
,DEMOCRATIC CAUCUS,2018,Q1,OTHER SERVICES,385.92,385.92
,DEMOCRATIC CAUCUS,2018,Q1,SUPPLIES AND MATERIALS,42047.58,42047.58
,DEMOCRATIC CAUCUS,2018,Q1,GENERAL EXPENDITURES TOTALS:,399669.85,399669.85
,DEMOCRATIC CAUCUS,2018,Q1,OFFICE TOTALS:,399669.85,399669.85
,REPUBLICAN CONFERENCE,2018,Q1,PERSONNEL COMPENSATION,302495.24,302495.24
,REPUBLICAN CONFERENCE,2018,Q1,TRAVEL,405.43,405.43
,REPUBLICAN CONFERENCE,2018,Q1,RENT  COMMUNICATION  UTILITIES,99.28,99.28
,REPUBLICAN CONFERENCE,2018,Q1,PRINTING AND REPRODUCTION,4761.58,4761.58
,REPUBLICAN CONFERENCE,2018,Q1,OTHER SERVICES,2545,2545
,REPUBLICAN CONFERENCE,2018,Q1,SUPPLIES AND MATERIALS,33729.1,33729.1
,REPUBLICAN CONFERENCE,2018,Q1,EQUIPMENT,2500,2500
,REPUBLICAN CONFERENCE,2018,Q1,GENERAL EXPENDITURES TOTALS:,346535.63,346535.63
