BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,"342,975.00","342,975.00"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,"645,829.45","645,829.45"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2011Q4,TRAVEL,997.86,997.86
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",175.36,175.36
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2011Q4,PRINTING AND REPRODUCTION,"1,243.70","1,243.70"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,"9,919.06","9,919.06"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2011Q4,PERSONNEL BENEFITS,"5,180.51","5,180.51"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,"252,872.17","252,872.17"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,"298,913.85","298,913.85"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2011Q4,FRANKED MAIL,1.52,1.52
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2011Q4,TRAVEL,"1,866.59","1,866.59"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",298.65,298.65
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2011Q4,PRINTING AND REPRODUCTION,328.32,328.32
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,"18,109.33","18,109.33"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,"163,388.33","163,388.33"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,"616,260.77","616,260.77"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2011Q4,TRAVEL,"22,380.43","22,380.43"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES","1,502.88","1,502.88"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2011Q4,PRINTING AND REPRODUCTION,"1,551.55","1,551.55"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,"21,690.45","21,690.45"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,"12,783.28","12,783.28"
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,"116,125.01","116,125.01"
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,"344,250.00","344,250.00"
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2011Q4,TRAVEL,16.00,16.00
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",73.00,73.00
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2011Q4,PRINTING AND REPRODUCTION,6.50,6.50
