BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,2017 OFFICE OF THE SPEAKER,2017,Q4,PERSONNEL COMPENSATION,5772375.77,1456685.52
,2017 OFFICE OF THE SPEAKER,2017,Q4,TRAVEL,18104.26,5216.21
,2017 OFFICE OF THE SPEAKER,2017,Q4,RENT  COMMUNICATION  UTILITIES,823,106.37
,2017 OFFICE OF THE SPEAKER,2017,Q4,PRINTING AND REPRODUCTION,1677.1,311
,2017 OFFICE OF THE SPEAKER,2017,Q4,OTHER SERVICES,20,0
,2017 OFFICE OF THE SPEAKER,2017,Q4,SUPPLIES AND MATERIALS,187311.96,53585.32
,2017 OFFICE OF THE SPEAKER,2017,Q4,GENERAL EXPENDITURES TOTALS:,5980312.09,1515904.42
,2017 OFFICE OF THE SPEAKER,2017,Q4,OFFICE TOTALS:,5980312.09,1515904.42
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q4,PERSONNEL COMPENSATION,1947338.94,535208.35
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q4,TRAVEL,2691.37,2634.99
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q4,RENT  COMMUNICATION  UTILITIES,687,246
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q4,PRINTING AND REPRODUCTION,487.61,240.76
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q4,OTHER SERVICES,6850,2755
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q4,SUPPLIES AND MATERIALS,45104.53,9188.06
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q4,GENERAL EXPENDITURES TOTALS:,2003159.45,550273.16
,2017 OFFICE OF THE MAJORITY LEADER,2017,Q4,OFFICE TOTALS:,2003159.45,550273.16
,2017 OFFICE OF THE MINORITY LEADER,2017,Q4,SUPPLIES AND MATERIALS,8407.36,0
,2017 OFFICE OF THE MINORITY LEADER,2017,Q4,OFFICIAL EXPENSES - LEADERSHIP TOTALS:,8407.36,0
,2017 OFFICE OF THE MINORITY LEADER,2017,Q4,PERSONNEL COMPENSATION,5733192.6,1629123.12
,2017 OFFICE OF THE MINORITY LEADER,2017,Q4,TRAVEL,76967.55,19398.73
,2017 OFFICE OF THE MINORITY LEADER,2017,Q4,RENT  COMMUNICATION  UTILITIES,877.01,277.55
,2017 OFFICE OF THE MINORITY LEADER,2017,Q4,PRINTING AND REPRODUCTION,42332.16,21991.91
,2017 OFFICE OF THE MINORITY LEADER,2017,Q4,OTHER SERVICES,85280,18256
,2017 OFFICE OF THE MINORITY LEADER,2017,Q4,SUPPLIES AND MATERIALS,141854.5,61834.53
,2017 OFFICE OF THE MINORITY LEADER,2017,Q4,GENERAL EXPENDITURES TOTALS:,6080503.82,1750881.84
,2017 OFFICE OF THE MINORITY LEADER,2017,Q4,OFFICE TOTALS:,6088911.18,1750881.84
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q4,PERSONNEL COMPENSATION,1718729.69,464130.79
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q4,TRAVEL,21777.37,8241.74
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q4,RENT  COMMUNICATION  UTILITIES,75.93,45.98
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q4,PRINTING AND REPRODUCTION,2663.88,13
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q4,OTHER SERVICES,634,0
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q4,SUPPLIES AND MATERIALS,11130.05,1691.18
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q4,GENERAL EXPENDITURES TOTALS:,1755010.92,474122.69
,2017 OFFICE OF THE MAJORITY WHIP,2017,Q4,OFFICE TOTALS:,1755010.92,474122.69
