BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2015,2015Q4,PERSONNEL BENEFITS,"20,833.30","2,083.33"
,OFFICE OF THE SPEAKER,2015,2015Q4,PERSONNEL COMPENSATION,"5,996,254.43","1,630,663.32"
,OFFICE OF THE SPEAKER,2015,2015Q4,TRAVEL,"9,503.88","4,893.09"
,OFFICE OF THE SPEAKER,2015,2015Q4,"RENT, COMMUNICATION, UTILITIES",941.65,438.70
,OFFICE OF THE SPEAKER,2015,2015Q4,PRINTING AND REPRODUCTION,"17,672.95","6,638.80"
,OFFICE OF THE SPEAKER,2015,2015Q4,OTHER SERVICES,"3,640.15",250.00
,OFFICE OF THE SPEAKER,2015,2015Q4,SUPPLIES AND MATERIALS,"256,966.08","60,778.95"
,OFFICE OF THE MAJORITY LEADER,2015,2015Q4,PERSONNEL COMPENSATION,"2,094,090.00","567,500.00"
,OFFICE OF THE MAJORITY LEADER,2015,2015Q4,TRAVEL,36.00,0.00
,OFFICE OF THE MAJORITY LEADER,2015,2015Q4,"RENT, COMMUNICATION, UTILITIES","2,725.99","1,482.09"
,OFFICE OF THE MAJORITY LEADER,2015,2015Q4,PRINTING AND REPRODUCTION,"2,004.60",19.30
,OFFICE OF THE MAJORITY LEADER,2015,2015Q4,OTHER SERVICES,0.00,"-2,250.00"
,OFFICE OF THE MAJORITY LEADER,2015,2015Q4,SUPPLIES AND MATERIALS,"46,035.12","12,720.40"
,OFFICE OF THE MAJORITY LEADER,2015,2015Q4,EQUIPMENT,"1,153.34","1,153.34"
,OFFICE OF THE MINORITY LEADER,2015,2015Q4,SUPPLIES AND MATERIALS,"10,000.00",0.00
,OFFICE OF THE MINORITY LEADER,2015,2015Q4,PERSONNEL COMPENSATION,"5,520,633.71","1,498,300.69"
,OFFICE OF THE MINORITY LEADER,2015,2015Q4,TRAVEL,"89,148.46","28,087.33"
,OFFICE OF THE MINORITY LEADER,2015,2015Q4,"RENT, COMMUNICATION, UTILITIES","1,389.51",208.71
,OFFICE OF THE MINORITY LEADER,2015,2015Q4,PRINTING AND REPRODUCTION,"4,809.50","1,082.10"
,OFFICE OF THE MINORITY LEADER,2015,2015Q4,OTHER SERVICES,"89,908.00","27,384.00"
,OFFICE OF THE MINORITY LEADER,2015,2015Q4,SUPPLIES AND MATERIALS,"181,114.20","102,519.84"
,OFFICE OF THE MAJORITY WHIP,2015,2015Q4,PERSONNEL COMPENSATION,"1,673,754.58","446,560.68"
,OFFICE OF THE MAJORITY WHIP,2015,2015Q4,TRAVEL,"10,012.67","2,772.57"
,OFFICE OF THE MAJORITY WHIP,2015,2015Q4,PRINTING AND REPRODUCTION,"3,524.55","1,205.93"
,OFFICE OF THE MAJORITY WHIP,2015,2015Q4,OTHER SERVICES,400.00,400.00
,OFFICE OF THE MAJORITY WHIP,2015,2015Q4,SUPPLIES AND MATERIALS,"44,719.21","29,654.45"
,OFFICE OF THE MINORITY WHIP,2015,2015Q4,PERSONNEL COMPENSATION,"2,207,914.01","575,251.24"
,OFFICE OF THE MINORITY WHIP,2015,2015Q4,TRAVEL,"1,712.99",420.62
,OFFICE OF THE MINORITY WHIP,2015,2015Q4,"RENT, COMMUNICATION, UTILITIES",285.82,280.07
,OFFICE OF THE MINORITY WHIP,2015,2015Q4,PRINTING AND REPRODUCTION,40.00,0.00
,OFFICE OF THE MINORITY WHIP,2015,2015Q4,OTHER SERVICES,136.52,68.86
,OFFICE OF THE MINORITY WHIP,2015,2015Q4,SUPPLIES AND MATERIALS,"1,005.74",354.09
,DEMOCRATIC CAUCUS,2015,2015Q4,PERSONNEL COMPENSATION,"1,324,387.23","367,173.88"
,DEMOCRATIC CAUCUS,2015,2015Q4,TRAVEL,"6,500.59",273.71
,DEMOCRATIC CAUCUS,2015,2015Q4,TRANSPORTATION OF THINGS,334.82,0.00
,DEMOCRATIC CAUCUS,2015,2015Q4,"RENT, COMMUNICATION, UTILITIES","2,350.18","1,084.83"
,DEMOCRATIC CAUCUS,2015,2015Q4,OTHER SERVICES,799.23,247.39
,DEMOCRATIC CAUCUS,2015,2015Q4,SUPPLIES AND MATERIALS,"111,080.63","60,012.14"
,DEMOCRATIC CAUCUS,2015,2015Q4,EQUIPMENT,34.06,0.00
,REPUBLICAN CONFERENCE,2015,2015Q4,PERSONNEL COMPENSATION,"1,209,215.30","290,036.24"
,REPUBLICAN CONFERENCE,2015,2015Q4,TRAVEL,"20,561.38",995.71
,REPUBLICAN CONFERENCE,2015,2015Q4,"RENT, COMMUNICATION, UTILITIES","2,613.16",0.00
,REPUBLICAN CONFERENCE,2015,2015Q4,PRINTING AND REPRODUCTION,"11,568.02","2,126.66"
,REPUBLICAN CONFERENCE,2015,2015Q4,OTHER SERVICES,"69,221.71","17,221.71"
,REPUBLICAN CONFERENCE,2015,2015Q4,SUPPLIES AND MATERIALS,"125,129.42","46,330.31"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"2,101,558.18","2,101,558.18"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,PERSONNEL COMPENSATION,"14,175,207.85","14,175,207.85"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,SUPPLIES AND MATERIALS,"8,651.30","8,651.30"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"10,731.58","10,731.58"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,TRAVEL,"46,672.28","46,672.28"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,"RENT, COMMUNICATION, UTILITIES","154,518.19","154,518.19"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,PRINTING AND REPRODUCTION,"8,702.34","8,702.34"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,OTHER SERVICES,"53,036.46","53,036.46"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,SUPPLIES AND MATERIALS,"124,834.48","124,834.48"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"22,124.82","22,124.82"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,OTHER SERVICES,"474,890.82","474,890.82"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"11,108.76","11,108.76"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,"RENT, COMMUNICATION, UTILITIES",71.82,71.82
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,OTHER SERVICES,80.00,80.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"21,897.50","21,897.50"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,SUPPLIES AND MATERIALS,126.89,126.89
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"114,418.53","114,418.53"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,OTHER SERVICES,"125,114.70","125,114.70"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"2,768.33","2,768.33"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"27,468.18","27,468.18"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"4,723.21","4,723.21"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"2,704.14","2,704.14"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,"RENT, COMMUNICATION, UTILITIES","2,367.90","2,367.90"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,OTHER SERVICES,"1,632.00","1,632.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"101,774.95","101,774.95"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,OTHER SERVICES,"11,962.17","11,962.17"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"346,758.73","346,758.73"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,TRANSPORTATION OF THINGS,320.00,320.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,"RENT, COMMUNICATION, UTILITIES","596,160.84","596,160.84"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,SUPPLIES AND MATERIALS,"1,162.09","1,162.09"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"84,494.90","84,494.90"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,TRANSPORTATION OF THINGS,65.00,65.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,SUPPLIES AND MATERIALS,"2,553.25","2,553.25"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"77,560.83","77,560.83"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,SUPPLIES AND MATERIALS,"2,608.84","2,608.84"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"81,073.52","81,073.52"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,OTHER SERVICES,"144,729.44","144,729.44"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,TRAVEL,"7,745.06","7,745.06"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,"RENT, COMMUNICATION, UTILITIES",9.95,9.95
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,OTHER SERVICES,"9,319.50","9,319.50"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"428,306.27","428,306.27"
,CLERK OF THE HOUSE,FISCAL YEAR 2016,2015Q4,PERSONNEL COMPENSATION,"4,757,769.73","4,757,769.73"
,CLERK OF THE HOUSE,FISCAL YEAR 2016,2015Q4,TRAVEL,"5,841.39","5,841.39"
,CLERK OF THE HOUSE,FISCAL YEAR 2016,2015Q4,"RENT, COMMUNICATION, UTILITIES","25,804.74","25,804.74"
,CLERK OF THE HOUSE,FISCAL YEAR 2016,2015Q4,PRINTING AND REPRODUCTION,251.10,251.10
,CLERK OF THE HOUSE,FISCAL YEAR 2016,2015Q4,OTHER SERVICES,"197,041.11","197,041.11"
,CLERK OF THE HOUSE,FISCAL YEAR 2016,2015Q4,SUPPLIES AND MATERIALS,"11,272.83","11,272.83"
,CLERK OF THE HOUSE,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"45,222.23","45,222.23"
,CLERK OF THE HOUSE,FISCAL YEAR 2016,2015Q4,SUPPLIES AND MATERIALS,43.18,43.18
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2016,2015Q4,PERSONNEL COMPENSATION,"312,049.02","312,049.02"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2016,2015Q4,TRAVEL,"1,050.70","1,050.70"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2016,2015Q4,"RENT, COMMUNICATION, UTILITIES","1,418.93","1,418.93"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2016,2015Q4,PRINTING AND REPRODUCTION,13.00,13.00
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2016,2015Q4,OTHER SERVICES,"25,349.00","25,349.00"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2016,2015Q4,SUPPLIES AND MATERIALS,"4,401.64","4,401.64"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"2,052.75","2,052.75"
,SERGEANT AT ARMS,FISCAL YEAR 2016,2015Q4,PERSONNEL COMPENSATION,"2,100,059.71","2,100,059.71"
,SERGEANT AT ARMS,FISCAL YEAR 2016,2015Q4,OTHER SERVICES,396.56,396.56
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2016,2015Q4,PERSONNEL COMPENSATION,"299,849.97","299,849.97"
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2016,2015Q4,"RENT, COMMUNICATION, UTILITIES","4,222.81","4,222.81"
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2016,2015Q4,PRINTING AND REPRODUCTION,47.55,47.55
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2016,2015Q4,SUPPLIES AND MATERIALS,450.21,450.21
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"1,176.00","1,176.00"
,COMPILATION OF PRECEDENTS,FISCAL YEAR 2016,2015Q4,PERSONNEL COMPENSATION,"111,499.98","111,499.98"
,TECHNICAL ASSISTANTS,FISCAL YEAR 2016,2015Q4,PERSONNEL COMPENSATION,"108,526.77","108,526.77"
,FORMER SPEAKER'S STAFF,FISCAL YEAR 2016,2015Q4,FRANKED MAIL,8.20,8.20
,FORMER SPEAKER'S STAFF,FISCAL YEAR 2016,2015Q4,PERSONNEL COMPENSATION,"48,599.00","48,599.00"
,FORMER SPEAKER'S STAFF,FISCAL YEAR 2016,2015Q4,PRINTING AND REPRODUCTION,89.90,89.90
,FORMER SPEAKER'S STAFF,FISCAL YEAR 2016,2015Q4,SUPPLIES AND MATERIALS,501.64,501.64
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2016,2015Q4,TRAVEL,"2,552.43","2,552.43"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2016,2015Q4,OTHER SERVICES,"4,478.00","4,478.00"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2016,2015Q4,PERSONNEL COMPENSATION,"89,536.54","89,536.54"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2016,2015Q4,"RENT, COMMUNICATION, UTILITIES","4,323.99","4,323.99"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2016,2015Q4,PRINTING AND REPRODUCTION,719.95,719.95
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2016,2015Q4,OTHER SERVICES,"12,272.00","12,272.00"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2016,2015Q4,SUPPLIES AND MATERIALS,"1,189.80","1,189.80"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2016,2015Q4,EQUIPMENT,"1,219.68","1,219.68"
