BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,DESCRIPTION,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2017,2017Q1,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1417695.37,1417695.37
,OFFICE OF THE SPEAKER,2017,2017Q1,GENERAL EXPENDITURES,TRAVEL,1410.89,1410.89
,OFFICE OF THE SPEAKER,2017,2017Q1,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,716.63,716.63
,OFFICE OF THE SPEAKER,2017,2017Q1,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1293.7,1293.7
,OFFICE OF THE SPEAKER,2017,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,38819.18,38819.18
,OFFICE OF THE SPEAKER,2017,2017Q1,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1459935.77,1459935.77
,OFFICE OF THE SPEAKER,2017,2017Q1,GENERAL EXPENDITURES,OFFICE TOTALS:,1459935.77,1459935.77
,OFFICE OF THE MAJORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,445322.24,445322.24
,OFFICE OF THE MAJORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,TRAVEL,31.99,31.99
,OFFICE OF THE MAJORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,98,98
,OFFICE OF THE MAJORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,12.9,12.9
,OFFICE OF THE MAJORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,OTHER SERVICES,585,585
,OFFICE OF THE MAJORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,14578.53,14578.53
,OFFICE OF THE MAJORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,460628.66,460628.66
,OFFICE OF THE MAJORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,OFFICE TOTALS:,460628.66,460628.66
,OFFICE OF THE MINORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1298651.87,1298651.87
,OFFICE OF THE MINORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,TRAVEL,15168.28,15168.28
,OFFICE OF THE MINORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,166.87,166.87
,OFFICE OF THE MINORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1339.73,1339.73
,OFFICE OF THE MINORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,OTHER SERVICES,15256,15256
,OFFICE OF THE MINORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,34112.74,34112.74
,OFFICE OF THE MINORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1364695.49,1364695.49
,OFFICE OF THE MINORITY LEADER,2017,2017Q1,GENERAL EXPENDITURES,OFFICE TOTALS:,1364695.49,1364695.49
,OFFICE OF THE MAJORITY WHIP,2017,2017Q1,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,396536.86,396536.86
,OFFICE OF THE MAJORITY WHIP,2017,2017Q1,GENERAL EXPENDITURES,TRAVEL,1158.2,1158.2
,OFFICE OF THE MAJORITY WHIP,2017,2017Q1,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,10,10
,OFFICE OF THE MAJORITY WHIP,2017,2017Q1,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,216.06,216.06
,OFFICE OF THE MAJORITY WHIP,2017,2017Q1,GENERAL EXPENDITURES,OTHER SERVICES,585,585
,OFFICE OF THE MAJORITY WHIP,2017,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1671.8,1671.8
,OFFICE OF THE MAJORITY WHIP,2017,2017Q1,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,400177.92,400177.92
,OFFICE OF THE MAJORITY WHIP,2017,2017Q1,GENERAL EXPENDITURES,OFFICE TOTALS:,400177.92,400177.92
,OFFICE OF THE MINORITY WHIP,2017,2017Q1,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,519218.66,519218.66
,OFFICE OF THE MINORITY WHIP,2017,2017Q1,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,146.46,146.46
,OFFICE OF THE MINORITY WHIP,2017,2017Q1,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,519365.12,519365.12
,OFFICE OF THE MINORITY WHIP,2017,2017Q1,GENERAL EXPENDITURES,OFFICE TOTALS:,519365.12,519365.12
,DEMOCRATIC CAUCUS,2017,2017Q1,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,210553.57,210553.57
,DEMOCRATIC CAUCUS,2017,2017Q1,GENERAL EXPENDITURES,TRAVEL,1997.54,1997.54
,DEMOCRATIC CAUCUS,2017,2017Q1,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,27.5,27.5
,DEMOCRATIC CAUCUS,2017,2017Q1,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,441.5,441.5
,DEMOCRATIC CAUCUS,2017,2017Q1,GENERAL EXPENDITURES,OTHER SERVICES,1043.93,1043.93
,DEMOCRATIC CAUCUS,2017,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,33203.71,33203.71
,DEMOCRATIC CAUCUS,2017,2017Q1,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,247267.75,247267.75
,DEMOCRATIC CAUCUS,2017,2017Q1,GENERAL EXPENDITURES,OFFICE TOTALS:,247267.75,247267.75
,REPUBLICAN CONFERENCE,2017,2017Q1,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,279774.92,279774.92
,REPUBLICAN CONFERENCE,2017,2017Q1,GENERAL EXPENDITURES,TRAVEL,642.07,642.07
,REPUBLICAN CONFERENCE,2017,2017Q1,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1903.23,1903.23
,REPUBLICAN CONFERENCE,2017,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,21105.92,21105.92
,REPUBLICAN CONFERENCE,2017,2017Q1,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,303426.14,303426.14
,REPUBLICAN CONFERENCE,2017,2017Q1,GENERAL EXPENDITURES,OFFICE TOTALS:,303426.14,303426.14
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,MICROSOFT ENTERPRISE LICENSES,EQUIPMENT,2346359,2346359
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,MICROSOFT ENTERPRISE LICENSES,MICROSOFT ENTERPRISE LICENSES TOTALS:,2346359,2346359
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,30524117.78,15714912.63
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,62.5,0
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,335,320
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,10,10
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,30524525.28,15715242.63
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,TRADITIONAL FURNITURE,SUPPLIES AND MATERIALS,95354.08,74398.48
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,TRADITIONAL FURNITURE,EQUIPMENT,129591.35,124375.68
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,TRADITIONAL FURNITURE,TRADITIONAL FURNITURE TOTALS:,224945.43,198774.16
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ADMIN AND OPS,TRAVEL,58895.75,42307.5
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,397692.72,234612.59
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ADMIN AND OPS,PRINTING AND REPRODUCTION,20844.6,11619.31
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ADMIN AND OPS,OTHER SERVICES,269389.71,244403.3
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,499509.99,367126.62
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ADMIN AND OPS,EQUIPMENT,215893.92,143844.8
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ADMIN AND OPS,ADMIN AND OPS TOTALS:,1462226.69,1043914.12
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,LIBRARY OF CONGRESS MAILREIMB,RENT  COMMUNICATION  UTILITIES,7004.52,7004.52
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,LIBRARY OF CONGRESS MAILREIMB,OTHER SERVICES,1252084.36,763116.18
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,LIBRARY OF CONGRESS MAILREIMB,EQUIPMENT,41530.04,34746.87
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,LIBRARY OF CONGRESS MAILREIMB,LIBRARY OF CONGRESS MAILREIMB TOTALS:,1300618.92,804867.57
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,CAO SAFETY PROGRAM,PRINTING AND REPRODUCTION,77.18,77.18
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,CAO SAFETY PROGRAM,OTHER SERVICES,5997.75,2149
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,CAO SAFETY PROGRAM,SUPPLIES AND MATERIALS,1474.59,796.69
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,CAO SAFETY PROGRAM,CAO SAFETY PROGRAM TOTALS:,7549.52,3022.87
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,WEB SOLUTIONS,RENT  COMMUNICATION  UTILITIES,89.4,72.04
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,WEB SOLUTIONS,OTHER SERVICES,44458.24,26181.26
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,WEB SOLUTIONS,SUPPLIES AND MATERIALS,188,0
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,WEB SOLUTIONS,EQUIPMENT,28495.73,28495.73
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,WEB SOLUTIONS,WEB SOLUTIONS TOTALS:,73231.37,54749.03
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,PEOPLESOFT FINANCIALS,OTHER SERVICES,99062.49,90208.89
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,PEOPLESOFT FINANCIALS,EQUIPMENT,45033.22,14538.76
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,PEOPLESOFT FINANCIALS,PEOPLESOFT FINANCIALS TOTALS:,144095.71,104747.65
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,REMEDY/CTS ACTIVITY,EQUIPMENT,7428.98,4964.41
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,REMEDY/CTS ACTIVITY,REMEDY/CTS ACTIVITY TOTALS:,7428.98,4964.41
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ENTERPRISE STORAGE SYSTEMS,SUPPLIES AND MATERIALS,2121.68,0
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ENTERPRISE STORAGE SYSTEMS,EQUIPMENT,39573.25,39573.25
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ENTERPRISE STORAGE SYSTEMS,ENTERPRISE STORAGE SYSTEMS TOTALS:,41694.93,39573.25
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ENTERPRISE TECHNOLOGY SYSTEMS,OTHER SERVICES,365413,365413
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ENTERPRISE TECHNOLOGY SYSTEMS,EQUIPMENT,328909.56,0
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ENTERPRISE TECHNOLOGY SYSTEMS,ENTERPRISE TECHNOLOGY SYSTEMS TOTALS:,694322.56,365413
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,CAO SEAT MANAGEMENT,SUPPLIES AND MATERIALS,6366.4,0
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,CAO SEAT MANAGEMENT,EQUIPMENT,30099.25,0
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,CAO SEAT MANAGEMENT,CAO SEAT MANAGEMENT TOTALS:,36465.65,0
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,SUBSCRIPTIONS,SUPPLIES AND MATERIALS,193000,193000
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,SUBSCRIPTIONS,SUBSCRIPTIONS TOTALS:,193000,193000
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,MAIL AND PACKAGE DELIVERY,OTHER SERVICES,17784.42,8892.21
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,MAIL AND PACKAGE DELIVERY,MAIL AND PACKAGE DELIVERY TOTALS:,17784.42,8892.21
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,TELEPHONE OPERATORS,OTHER SERVICES,370575,0
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,TELEPHONE OPERATORS,TELEPHONE OPERATORS TOTALS:,370575,0
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ENTERPRISE AUTH & MONITORING,EQUIPMENT,18593.75,18593.75
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ENTERPRISE AUTH & MONITORING,ENTERPRISE AUTH & MONITORING TOTALS:,18593.75,18593.75
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ENTERPRISE MOBILITY AND E-FAX,EQUIPMENT,135512.38,14032.88
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ENTERPRISE MOBILITY AND E-FAX,ENTERPRISE MOBILITY AND E-FAX TOTALS:,135512.38,14032.88
