BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,659.11,387.52
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,6453328.92,1740243.8
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,98770.05,27845.35
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,118530.68,29361.65
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,56948.74,19307.92
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,169902.75,37251
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,269390.05,39774.32
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,31347.97,3287.5
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,7198878.27,1897459.06
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OFFICE TOTALS:,7198878.27,1897459.06
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2411789.83,857105.43
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,135.21,135.21
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,33703.22,9609.45
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,5043.1,3261.5
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,297230.59,66820.26
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,18305.08,4514.3
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,8042.14,1029
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,2774249.17,942475.15
