BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,"1,212,883.02","342,975.00"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,"2,650,166.30","621,333.15"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,TRAVEL,"27,185.19","2,638.66"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,"RENT, COMMUNICATION, UTILITIES","5,996.57",292.37
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,PRINTING AND REPRODUCTION,"8,194.08",552.64
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,OTHER SERVICES,"25,462.11",371.94
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,SUPPLIES AND MATERIALS,"150,957.36","30,989.08"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,PERSONNEL BENEFITS,"18,749.97","6,249.99"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,"848,106.39","256,705.50"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,"1,481,537.67","346,288.84"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,TRAVEL,"9,663.58","1,552.52"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,"RENT, COMMUNICATION, UTILITIES","2,351.53",32.27
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,PRINTING AND REPRODUCTION,"1,887.50",-904.20
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,OTHER SERVICES,"7,584.88","-16,200.00"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,SUPPLIES AND MATERIALS,"40,849.97","10,252.71"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,EQUIPMENT,"1,500.00","1,500.00"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,PERSONNEL BENEFITS,"2,499.99",0.00
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,"803,393.14","162,159.00"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,"2,464,209.00","662,838.61"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,TRAVEL,"84,118.67","27,337.30"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,"RENT, COMMUNICATION, UTILITIES","5,491.31",874.49
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,PRINTING AND REPRODUCTION,"11,513.41","2,146.74"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,OTHER SERVICES,"80,958.69","23,934.19"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,SUPPLIES AND MATERIALS,"257,874.78","42,565.49"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,EQUIPMENT,"3,899.00","3,400.00"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,PERSONNEL BENEFITS,"2,499.99",0.00
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,SUPPLIES AND MATERIALS,"5,565.20","5,565.20"
