BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2015,2015Q3,PERSONNEL BENEFITS,"18,749.97","6,249.99"
,OFFICE OF THE SPEAKER,2015,2015Q3,PERSONNEL COMPENSATION,"4,365,591.11","1,459,356.58"
,OFFICE OF THE SPEAKER,2015,2015Q3,TRAVEL,"4,610.79",963.45
,OFFICE OF THE SPEAKER,2015,2015Q3,"RENT, COMMUNICATION, UTILITIES",502.95,6.35
,OFFICE OF THE SPEAKER,2015,2015Q3,PRINTING AND REPRODUCTION,"11,034.15",558.65
,OFFICE OF THE SPEAKER,2015,2015Q3,OTHER SERVICES,"3,390.15",104.95
,OFFICE OF THE SPEAKER,2015,2015Q3,SUPPLIES AND MATERIALS,"196,187.13","46,025.21"
,OFFICE OF THE MAJORITY LEADER,2015,2015Q3,PERSONNEL COMPENSATION,"1,526,590.00","507,875.00"
,OFFICE OF THE MAJORITY LEADER,2015,2015Q3,TRAVEL,36.00,24.00
,OFFICE OF THE MAJORITY LEADER,2015,2015Q3,"RENT, COMMUNICATION, UTILITIES","1,243.90",495.75
,OFFICE OF THE MAJORITY LEADER,2015,2015Q3,PRINTING AND REPRODUCTION,"1,985.30",12.80
,OFFICE OF THE MAJORITY LEADER,2015,2015Q3,OTHER SERVICES,"2,250.00","2,250.00"
,OFFICE OF THE MAJORITY LEADER,2015,2015Q3,SUPPLIES AND MATERIALS,"33,314.72","9,684.18"
,OFFICE OF THE MINORITY LEADER,2015,2015Q3,SUPPLIES AND MATERIALS,"10,000.00",0.00
,OFFICE OF THE MINORITY LEADER,2015,2015Q3,PERSONNEL COMPENSATION,"4,022,333.02","1,365,644.56"
,OFFICE OF THE MINORITY LEADER,2015,2015Q3,TRAVEL,"61,061.13","25,358.55"
,OFFICE OF THE MINORITY LEADER,2015,2015Q3,"RENT, COMMUNICATION, UTILITIES","1,180.80",613.25
,OFFICE OF THE MINORITY LEADER,2015,2015Q3,PRINTING AND REPRODUCTION,"3,727.40",650.60
,OFFICE OF THE MINORITY LEADER,2015,2015Q3,OTHER SERVICES,"62,524.00","16,756.00"
,OFFICE OF THE MINORITY LEADER,2015,2015Q3,SUPPLIES AND MATERIALS,"78,594.36","31,701.19"
,OFFICE OF THE MAJORITY WHIP,2015,2015Q3,PERSONNEL COMPENSATION,"1,227,193.90","437,549.51"
,OFFICE OF THE MAJORITY WHIP,2015,2015Q3,TRAVEL,"7,240.10","2,823.91"
,OFFICE OF THE MAJORITY WHIP,2015,2015Q3,PRINTING AND REPRODUCTION,"2,318.62","1,961.56"
,OFFICE OF THE MAJORITY WHIP,2015,2015Q3,SUPPLIES AND MATERIALS,"15,064.76","1,847.99"
,OFFICE OF THE MINORITY WHIP,2015,2015Q3,PERSONNEL COMPENSATION,"1,632,662.77","538,633.62"
,OFFICE OF THE MINORITY WHIP,2015,2015Q3,TRAVEL,"1,292.37",201.99
,OFFICE OF THE MINORITY WHIP,2015,2015Q3,"RENT, COMMUNICATION, UTILITIES",5.75,5.75
,OFFICE OF THE MINORITY WHIP,2015,2015Q3,PRINTING AND REPRODUCTION,40.00,0.00
,OFFICE OF THE MINORITY WHIP,2015,2015Q3,OTHER SERVICES,67.66,67.66
,OFFICE OF THE MINORITY WHIP,2015,2015Q3,SUPPLIES AND MATERIALS,651.65,0.00
,DEMOCRATIC CAUCUS,2015,2015Q3,PERSONNEL COMPENSATION,"957,213.35","319,710.54"
,DEMOCRATIC CAUCUS,2015,2015Q3,TRAVEL,"6,226.88",706.18
,DEMOCRATIC CAUCUS,2015,2015Q3,TRANSPORTATION OF THINGS,334.82,334.82
,DEMOCRATIC CAUCUS,2015,2015Q3,"RENT, COMMUNICATION, UTILITIES","1,265.35",315.98
,DEMOCRATIC CAUCUS,2015,2015Q3,OTHER SERVICES,551.84,216.92
,DEMOCRATIC CAUCUS,2015,2015Q3,SUPPLIES AND MATERIALS,"51,068.49","17,520.57"
,DEMOCRATIC CAUCUS,2015,2015Q3,EQUIPMENT,34.06,34.06
,REPUBLICAN CONFERENCE,2015,2015Q3,PERSONNEL COMPENSATION,"919,179.06","297,020.21"
,REPUBLICAN CONFERENCE,2015,2015Q3,TRAVEL,"19,565.67","9,883.83"
,REPUBLICAN CONFERENCE,2015,2015Q3,"RENT, COMMUNICATION, UTILITIES","2,613.16",0.00
,REPUBLICAN CONFERENCE,2015,2015Q3,PRINTING AND REPRODUCTION,"9,441.36","8,997.00"
,REPUBLICAN CONFERENCE,2015,2015Q3,OTHER SERVICES,"52,000.00","30,000.00"
,REPUBLICAN CONFERENCE,2015,2015Q3,SUPPLIES AND MATERIALS,"78,799.11","30,893.38"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q3,EQUIPMENT,"2,101,558.18",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q3,PERSONNEL COMPENSATION,"56,289,839.48","14,009,667.26"
