BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,COMMUNICATIONS,FISCAL YEAR 2010,2009Q4,OTHER SERVICES,"1,300.00","1,300.00"
,COMMUNICATIONS,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,208.20,208.20
,COMMUNICATIONS,FISCAL YEAR 2010,2009Q4,EQUIPMENT,48.00,48.00
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,"220,964.58","220,964.58"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,"904,613.96","904,613.96"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,TRAVEL,"7,164.05","7,164.05"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES","10,931.35","10,931.35"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,PRINTING AND REPRODUCTION,"5,101.17","5,101.17"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,OTHER SERVICES,"16,801.48","16,801.48"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,"50,599.55","50,599.55"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,813.43,813.43
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,"110,625.00","110,625.00"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,"453,349.89","453,349.89"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,TRAVEL,75.75,75.75
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",84.50,84.50
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,PRINTING AND REPRODUCTION,6.40,6.40
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,OTHER SERVICES,222.81,222.81
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,"11,368.09","11,368.09"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,PERSONNEL BENEFITS,"2,499.99","2,499.99"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,"293,349.96","293,349.96"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,"426,947.45","426,947.45"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2009Q4,TRAVEL,36.00,36.00
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",138.51,138.51
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2009Q4,PRINTING AND REPRODUCTION,27.80,27.80
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,"27,655.10","27,655.10"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2009Q4,PERSONNEL BENEFITS,"2,499.99","2,499.99"
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,"41,250.00","41,250.00"
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,"342,059.72","342,059.72"
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2009Q4,TRAVEL,106.00,106.00
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",126.04,126.04
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2009Q4,PRINTING AND REPRODUCTION,181.50,181.50
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2009Q4,OTHER SERVICES,"1,042.92","1,042.92"
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,"17,507.66","17,507.66"
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,"85,799.01","85,799.01"
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,"287,808.93","287,808.93"
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2009Q4,TRAVEL,"1,792.69","1,792.69"
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",4.84,4.84
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2009Q4,PRINTING AND REPRODUCTION,35.80,35.80
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,"27,967.12","27,967.12"
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,"86,250.00","86,250.00"
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,"224,591.49","224,591.49"
,DEMOCRATIC CAUCUS,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,"76,125.00","76,125.00"
,DEMOCRATIC CAUCUS,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,"380,373.13","380,373.13"
,DEMOCRATIC CAUCUS,FISCAL YEAR 2010,2009Q4,TRAVEL,127.00,127.00
