BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,64.19,64.19
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1527684.13,1527684.13
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,14416.29,14416.29
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,26056.39,26056.39
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,5563.77,5563.77
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,56759,56759
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,110625.04,110625.04
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,10676.47,10676.47
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1751845.28,1751845.28
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OFFICE TOTALS:,1751845.28,1751845.28
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,497991.41,497991.41
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,7191.56,7191.56
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,75194.06,75194.06
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,6022.96,6022.96
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,2358.14,2358.14
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,588758.13,588758.13
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,588758.13,588758.13
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,841408.36,841408.36
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,338.41,338.41
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,9474.42,9474.42
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2623.81,2623.81
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,23317.27,23317.27
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,34125.1,34125.1
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,9730.8,9730.8
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,921018.17,921018.17
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,921018.17,921018.17
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,447761.13,447761.13
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,554.48,554.48
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,3229.07,3229.07
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,5282.75,5282.75
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,615,615
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,34101.33,34101.33
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,24175.08,24175.08
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,515718.84,515718.84
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OFFICE TOTALS:,515718.84,515718.84
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,420191.27,420191.27
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,7333.72,7333.72
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,4042.77,4042.77
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,22452.39,22452.39
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,9360.84,9360.84
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,2981.77,2981.77
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,466362.76,466362.76
