BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2016,2016Q1,SUPPLIES AND MATERIALS,380.00,380.00
,OFFICE OF THE SPEAKER,2016,2016Q1,PERSONNEL COMPENSATION,"1,400,132.67","1,400,132.67"
,OFFICE OF THE SPEAKER,2016,2016Q1,TRAVEL,47.27,47.27
,OFFICE OF THE SPEAKER,2016,2016Q1,"RENT, COMMUNICATION, UTILITIES",102.65,102.65
,OFFICE OF THE SPEAKER,2016,2016Q1,PRINTING AND REPRODUCTION,802.20,802.20
,OFFICE OF THE SPEAKER,2016,2016Q1,OTHER SERVICES,"2,576.71","2,576.71"
,OFFICE OF THE SPEAKER,2016,2016Q1,SUPPLIES AND MATERIALS,"26,335.54","26,335.54"
,OFFICE OF THE SPEAKER,2016,2016Q1,EQUIPMENT,115.54,115.54
,OFFICE OF THE MAJORITY LEADER,2016,2016Q1,PERSONNEL COMPENSATION,"486,150.00","486,150.00"
,OFFICE OF THE MAJORITY LEADER,2016,2016Q1,PRINTING AND REPRODUCTION,853.31,853.31
,OFFICE OF THE MAJORITY LEADER,2016,2016Q1,SUPPLIES AND MATERIALS,"4,828.61","4,828.61"
,OFFICE OF THE MINORITY LEADER,2016,2016Q1,PERSONNEL COMPENSATION,"1,329,027.64","1,329,027.64"
,OFFICE OF THE MINORITY LEADER,2016,2016Q1,TRAVEL,"10,875.10","10,875.10"
,OFFICE OF THE MINORITY LEADER,2016,2016Q1,"RENT, COMMUNICATION, UTILITIES",201.53,201.53
,OFFICE OF THE MINORITY LEADER,2016,2016Q1,PRINTING AND REPRODUCTION,864.38,864.38
,OFFICE OF THE MINORITY LEADER,2016,2016Q1,OTHER SERVICES,"15,256.00","15,256.00"
,OFFICE OF THE MINORITY LEADER,2016,2016Q1,SUPPLIES AND MATERIALS,"16,318.41","16,318.41"
,OFFICE OF THE MAJORITY WHIP,2016,2016Q1,PERSONNEL COMPENSATION,"429,744.62","429,744.62"
,OFFICE OF THE MAJORITY WHIP,2016,2016Q1,TRAVEL,634.06,634.06
,OFFICE OF THE MAJORITY WHIP,2016,2016Q1,SUPPLIES AND MATERIALS,"10,316.78","10,316.78"
,OFFICE OF THE MINORITY WHIP,2016,2016Q1,PERSONNEL COMPENSATION,"537,888.66","537,888.66"
,OFFICE OF THE MINORITY WHIP,2016,2016Q1,TRAVEL,242.74,242.74
,OFFICE OF THE MINORITY WHIP,2016,2016Q1,"RENT, COMMUNICATION, UTILITIES",16.50,16.50
,OFFICE OF THE MINORITY WHIP,2016,2016Q1,OTHER SERVICES,74.01,74.01
,OFFICE OF THE MINORITY WHIP,2016,2016Q1,SUPPLIES AND MATERIALS,169.79,169.79
,DEMOCRATIC CAUCUS,2016,2016Q1,PERSONNEL COMPENSATION,"310,485.51","310,485.51"
,DEMOCRATIC CAUCUS,2016,2016Q1,TRAVEL,"2,570.49","2,570.49"
,DEMOCRATIC CAUCUS,2016,2016Q1,OTHER SERVICES,223.94,223.94
,DEMOCRATIC CAUCUS,2016,2016Q1,SUPPLIES AND MATERIALS,"13,073.41","13,073.41"
,REPUBLICAN CONFERENCE,2016,2016Q1,PERSONNEL COMPENSATION,"318,781.71","318,781.71"
,REPUBLICAN CONFERENCE,2016,2016Q1,TRAVEL,"3,671.78","3,671.78"
,REPUBLICAN CONFERENCE,2016,2016Q1,PRINTING AND REPRODUCTION,563.38,563.38
,REPUBLICAN CONFERENCE,2016,2016Q1,OTHER SERVICES,"15,150.00","15,150.00"
,REPUBLICAN CONFERENCE,2016,2016Q1,SUPPLIES AND MATERIALS,"16,970.60","16,970.60"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,EQUIPMENT,"2,101,558.18",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,PERSONNEL COMPENSATION,"28,540,172.10","14,364,964.25"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,OTHER SERVICES,824.91,824.91
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,SUPPLIES AND MATERIALS,"47,579.37","38,928.07"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,EQUIPMENT,"120,620.34","109,888.76"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,TRAVEL,"84,633.94","37,961.66"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,"RENT, COMMUNICATION, UTILITIES","382,942.12","228,423.93"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,PRINTING AND REPRODUCTION,"17,858.36","9,156.02"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,OTHER SERVICES,"480,437.94","427,401.48"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,SUPPLIES AND MATERIALS,"446,521.39","321,686.91"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,EQUIPMENT,"262,679.42","240,554.60"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,"RENT, COMMUNICATION, UTILITIES","9,842.30","9,842.30"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,OTHER SERVICES,"1,238,007.00","763,116.18"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,EQUIPMENT,"45,142.05","34,033.29"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,"RENT, COMMUNICATION, UTILITIES",83.15,11.33
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,OTHER SERVICES,200.00,120.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,EQUIPMENT,"28,233.63","6,336.13"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,OTHER SERVICES,"31,495.73","31,495.73"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,EQUIPMENT,"22,815.23","22,815.23"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,OTHER SERVICES,"3,526.25","3,526.25"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,SUPPLIES AND MATERIALS,126.89,0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,EQUIPMENT,"124,737.94","10,319.41"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2016,2016Q1,EQUIPMENT,"282,731.40","282,731.40"
