BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,226,161.81
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3159339.39,1631655.26
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,49097.18,34680.89
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,54979.78,28923.39
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,17550.23,11986.46
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,94867.5,38108.5
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,200775.4,90150.36
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,18003.47,7327
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,3594838.95,1842993.67
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OFFICE TOTALS:,3594838.95,1842993.67
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1009247.76,511256.35
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,14894.75,7703.19
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,16,16
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,126167.19,50973.13
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,10636.87,4613.91
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,3387.14,1029
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1164349.71,575591.58
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,1164349.71,575591.58
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1686983.36,845575
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,404.3,65.89
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,18744.64,9270.22
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,6586.46,3962.65
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,45014.7,21697.43
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,52392.73,18267.63
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,28877.86,19147.06
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1839004.05,917985.88
,2019 OFFICE OF THE MINORITY LEADER,CONFERENCE SECRETARY,PERSONNEL COMPENSATION,23166.66,23166.66
,2019 OFFICE OF THE MINORITY LEADER,CONFERENCE SECRETARY,CONFERENCE SECRETARY TOTALS:,23166.66,23166.66
,2019 OFFICE OF THE MINORITY LEADER,CONFERENCE VICE CHAIR,PERSONNEL COMPENSATION,17000,17000
,2019 OFFICE OF THE MINORITY LEADER,CONFERENCE VICE CHAIR,CONFERENCE VICE CHAIR TOTALS:,17000,17000
,2019 OFFICE OF THE MINORITY LEADER,REPUBLICAN POLICY COMMITTEE,PERSONNEL COMPENSATION,51000,51000
,2019 OFFICE OF THE MINORITY LEADER,REPUBLICAN POLICY COMMITTEE,REPUBLICAN POLICY COMMITTEE TOTALS:,51000,51000
,2019 OFFICE OF THE MINORITY LEADER,REPUBLICAN POLICY COMMITTEE,OFFICE TOTALS:,1930170.71,1009152.54
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,913677.83,465916.7
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,1445.57,891.09
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,10291.24,7062.17
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,9293.9,4011.15
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,66354,65739
