BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,127.16,127.16
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1605207.51,1605207.51
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,12204.88,12204.88
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,20008,20008
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,7203.98,7203.98
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,4609.88,4609.88
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,70922.84,70922.84
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,3807.47,3807.47
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1724091.72,1724091.72
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OFFICE TOTALS:,1724091.72,1724091.72
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,616240.34,616240.34
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,5344.47,5344.47
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,901.94,901.94
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,19163.89,19163.89
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,4711.83,4711.83
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,5929,5929
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,652291.47,652291.47
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,652291.47,652291.47
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,984525.6,984525.6
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,63.31,63.31
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,9540.64,9540.64
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,6104.47,6104.47
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,36812.88,36812.88
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,21136.15,21136.15
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,9201.2,9201.2
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1067384.25,1067384.25
,2020 OFFICE OF THE MINORITY LEADER,CONFERENCE SECRETARY,PERSONNEL COMPENSATION,24933.33,24933.33
,2020 OFFICE OF THE MINORITY LEADER,CONFERENCE SECRETARY,CONFERENCE SECRETARY TOTALS:,24933.33,24933.33
,2020 OFFICE OF THE MINORITY LEADER,CONFERENCE VICE CHAIR,PERSONNEL COMPENSATION,7933.33,7933.33
,2020 OFFICE OF THE MINORITY LEADER,CONFERENCE VICE CHAIR,CONFERENCE VICE CHAIR TOTALS:,7933.33,7933.33
,2020 OFFICE OF THE MINORITY LEADER,REPUBLICAN POLICY COMMITTEE,PERSONNEL COMPENSATION,49866.66,49866.66
,2020 OFFICE OF THE MINORITY LEADER,REPUBLICAN POLICY COMMITTEE,REPUBLICAN POLICY COMMITTEE TOTALS:,49866.66,49866.66
,2020 OFFICE OF THE MINORITY LEADER,REPUBLICAN POLICY COMMITTEE,OFFICE TOTALS:,1150117.57,1150117.57
,2020 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,432761.16,432761.16
,2020 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,124.3,124.3
,2020 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,3693.12,3693.12
,2020 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,197.15,197.15
,2020 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,17165,17165
,2020 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,27407.7,27407.7
,2020 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,8963.59,8963.59
,2020 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,490312.02,490312.02
,2020 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OFFICE TOTALS:,490312.02,490312.02
,2020 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,487700.04,487700.04
,2020 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,TRAVEL,30,30
,2020 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,5103.72,5103.72
,2020 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,68.45,68.45
,2020 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,19480.23,19480.23
,2020 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1814.91,1814.91
,2020 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,2119.09,2119.09
,2020 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,516316.44,516316.44
,2020 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OFFICE TOTALS:,516316.44,516316.44
,2020 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,377974.28,377974.28
,2020 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,TRAVEL,642.57,642.57
,2020 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,8950.97,8950.97
,2020 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,580.7,580.7
,2020 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OTHER SERVICES,11392.99,11392.99
,2020 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,33552.02,33552.02
,2020 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,EQUIPMENT,19818,19818
,2020 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,452911.53,452911.53
,2020 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OFFICE TOTALS:,452911.53,452911.53
,2020 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,338188.16,338188.16
,2020 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,TRAVEL,24.67,24.67
,2020 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,4564.76,4564.76
,2020 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,59.9,59.9
,2020 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OTHER SERVICES,539.49,539.49
,2020 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,24721.32,24721.32
,2020 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,EQUIPMENT,1435.14,1435.14
,2020 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,369533.44,369533.44
,2020 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OFFICE TOTALS:,369533.44,369533.44
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,SUPPLIES AND MATERIALS,93048.7,37228.6
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,ENTERPRISE LICENSES TOTALS:,93048.7,37228.6
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,36173939.91,18549137.75
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,36173939.91,18549137.75
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRAVEL,151747.43,64835.95
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,447893.27,259425.61
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,PRINTING AND REPRODUCTION,10079.98,7423.68
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,OTHER SERVICES,532166.73,437278.6
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,SUPPLIES AND MATERIALS,801231.02,740420.07
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,EQUIPMENT,347109.71,326073.97
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,ADMIN AND OPS TOTALS:,2290228.14,1835457.88
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CHILD CARE CENTER TRAINING,TRAVEL,5832.85,88.15
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CHILD CARE CENTER TRAINING,OTHER SERVICES,12962,8325.25
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CHILD CARE CENTER TRAINING,CHILD CARE CENTER TRAINING TOTALS:,18794.85,8413.4
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,OTHER SERVICES,855514.6,513308.76
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,EQUIPMENT,4489.03,4489.03
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,LIBRARY OF CONGRESS MAILREIMB TOTALS:,860003.63,517797.79
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,RENT  COMMUNICATION  UTILITIES,4834.75,2375.06
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,OTHER SERVICES,193145.17,116011.63
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,EQUIPMENT,15638.87,6664.65
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,AOC MAIL IPAC TOTALS:,213618.79,125051.34
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,OTHER SERVICES,10004.77,2710.57
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,SUPPLIES AND MATERIALS,554.23,554.23
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,CAO SAFETY PROGRAM TOTALS:,10559,3264.8
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,RENT  COMMUNICATION  UTILITIES,310,310
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,OTHER SERVICES,28928.28,28928.28
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,SUPPLIES AND MATERIALS,1038.2,1038.2
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,EQUIPMENT,1133.38,1133.38
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,CONGRESSIONAL STAFF ACADEMY TOTALS:,31409.86,31409.86
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,OTHER SERVICES,117184.63,99080.54
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,SUPPLIES AND MATERIALS,295,295
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,EQUIPMENT,29389.92,8139.92
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,WEB SOLUTIONS TOTALS:,146869.55,107515.46
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,OTHER SERVICES,135350.76,120541.18
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,EQUIPMENT,60799.32,57985.76
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,PEOPLESOFT FINANCIALS TOTALS:,196150.08,178526.94
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,EQUIPMENT,507188.3,0
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,ENTERPRISE TECHNOLOGY SYSTEMS TOTALS:,507188.3,0
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAO SEAT MANAGEMENT,OTHER SERVICES,2514.61,2514.61
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAO SEAT MANAGEMENT,CAO SEAT MANAGEMENT TOTALS:,2514.61,2514.61
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,SUBSCRIPTIONS,SUPPLIES AND MATERIALS,772500,772500
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,SUBSCRIPTIONS,SUBSCRIPTIONS TOTALS:,772500,772500
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,SUPPLIES AND MATERIALS,1588.28,1588.28
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,EQUIPMENT,9523.2,9523.2
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,ENTERPRISE DATA STORAGE TOTALS:,11111.48,11111.48
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,EQUIPMENT,1959.77,1959.77
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,ENTERPRISE INFRASTRUCTURE TECH TOTALS:,1959.77,1959.77
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAO PRIVACY PROGRAM,OTHER SERVICES,1245,1245
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAO PRIVACY PROGRAM,CAO PRIVACY PROGRAM TOTALS:,1245,1245
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,SUPPLIES AND MATERIALS,1774.32,434.32
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,EQUIPMENT,25808.32,25808.32
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,MODULAR FURNITURE TOTALS:,27582.64,26242.64
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,SUPPLIES AND MATERIALS,11918.48,10695.87
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,EQUIPMENT,15499.22,15499.22
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,ASSET OPERATIONS TOTALS:,27417.7,26195.09
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,IDENTITY ACCESS MANAGEMENT,OTHER SERVICES,16362,16362
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,IDENTITY ACCESS MANAGEMENT,IDENTITY ACCESS MANAGEMENT TOTALS:,16362,16362
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,SUPPLIES AND MATERIALS,96828.66,70491.12
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,EQUIPMENT,925.61,925.61
