BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2016,2016Q2,SUPPLIES AND MATERIALS,380.00,0.00
,OFFICE OF THE SPEAKER,2016,2016Q2,PERSONNEL COMPENSATION,"2,870,141.99","1,470,009.32"
,OFFICE OF THE SPEAKER,2016,2016Q2,TRAVEL,150.12,102.85
,OFFICE OF THE SPEAKER,2016,2016Q2,"RENT, COMMUNICATION, UTILITIES",197.75,95.10
,OFFICE OF THE SPEAKER,2016,2016Q2,PRINTING AND REPRODUCTION,"1,002.90",200.70
,OFFICE OF THE SPEAKER,2016,2016Q2,OTHER SERVICES,"2,576.71",0.00
,OFFICE OF THE SPEAKER,2016,2016Q2,SUPPLIES AND MATERIALS,"50,819.25","24,483.71"
,OFFICE OF THE SPEAKER,2016,2016Q2,EQUIPMENT,148.03,32.49
,OFFICE OF THE MAJORITY LEADER,2016,2016Q2,PERSONNEL COMPENSATION,"998,025.00","511,875.00"
,OFFICE OF THE MAJORITY LEADER,2016,2016Q2,TRAVEL,"1,382.18","1,382.18"
,OFFICE OF THE MAJORITY LEADER,2016,2016Q2,"RENT, COMMUNICATION, UTILITIES",109.60,109.60
,OFFICE OF THE MAJORITY LEADER,2016,2016Q2,PRINTING AND REPRODUCTION,902.61,49.30
,OFFICE OF THE MAJORITY LEADER,2016,2016Q2,OTHER SERVICES,"2,250.00","2,250.00"
,OFFICE OF THE MAJORITY LEADER,2016,2016Q2,SUPPLIES AND MATERIALS,"21,992.30","17,163.69"
,OFFICE OF THE MINORITY LEADER,2016,2016Q2,PERSONNEL COMPENSATION,"2,725,601.36","1,396,573.72"
,OFFICE OF THE MINORITY LEADER,2016,2016Q2,TRAVEL,"31,150.05","20,274.95"
,OFFICE OF THE MINORITY LEADER,2016,2016Q2,"RENT, COMMUNICATION, UTILITIES",548.51,346.98
,OFFICE OF THE MINORITY LEADER,2016,2016Q2,PRINTING AND REPRODUCTION,"2,401.58","1,537.20"
,OFFICE OF THE MINORITY LEADER,2016,2016Q2,OTHER SERVICES,"44,890.00","29,634.00"
,OFFICE OF THE MINORITY LEADER,2016,2016Q2,SUPPLIES AND MATERIALS,"60,903.76","44,585.35"
