BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
,2018 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,OTHER SERVICES,362,0
,2018 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,475,475
,2018 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,OFFICIAL EXPENSES - LEADERSHIP TOTALS:,837,475
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,925.03,361.9
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,4890284.11,1021973.84
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,10353.87,143.95
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,47007.85,18799.53
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,3560.85,1262.35
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,64704.7,16810.15
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,120839.94,7626.22
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,20388,8296
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,5158064.35,1075273.94
,2018 OFFICE OF THE SPEAKER,CONFERENCE SECRETARY,PERSONNEL COMPENSATION,74999.97,24999.99
,2018 OFFICE OF THE SPEAKER,CONFERENCE SECRETARY,CONFERENCE SECRETARY TOTALS:,74999.97,24999.99
,2018 OFFICE OF THE SPEAKER,NRCC,PERSONNEL COMPENSATION,66944.42,16944.44
,2018 OFFICE OF THE SPEAKER,NRCC,NRCC TOTALS:,66944.42,16944.44
,2018 OFFICE OF THE SPEAKER,CONFERENCE VICE CHAIR,PERSONNEL COMPENSATION,74999.97,24999.99
,2018 OFFICE OF THE SPEAKER,CONFERENCE VICE CHAIR,CONFERENCE VICE CHAIR TOTALS:,74999.97,24999.99
,2018 OFFICE OF THE SPEAKER,REPUBLICAN POLICY COMMITTEE,PERSONNEL COMPENSATION,111055.59,35355.57
,2018 OFFICE OF THE SPEAKER,REPUBLICAN POLICY COMMITTEE,REPUBLICAN POLICY COMMITTEE TOTALS:,111055.59,35355.57
,2018 OFFICE OF THE SPEAKER,REPUBLICAN POLICY COMMITTEE,OFFICE TOTALS:,5486901.3,1178048.93
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2137480.59,604691.67
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,8330.2,3485.05
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,44970.34,24510.28
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1385.23,1080.24
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,45625.11,17945.11
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,41994.34,6373.87
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,10058.8,953.2
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,2289844.61,659039.42
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,2289844.61,659039.42
,2018 OFFICE OF THE MINORITY LEADER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,8821.05,0
,2018 OFFICE OF THE MINORITY LEADER,OFFICIAL EXPENSES - LEADERSHIP,OFFICIAL EXPENSES - LEADERSHIP TOTALS:,8821.05,0
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,FRANKED MAIL,6.78,0
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,5859383.25,1597812.39
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,93278.06,33779.88
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,74821.82,33853.74
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,53958.79,1512.01
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,182976.37,66290
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,152972.06,20714.64
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,15963.05,4140
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,6433360.18,1758102.66
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,6442181.23,1758102.66
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1941522.66,520226.24
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,14595.28,2129.93
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRANSPORTATION OF THINGS,11,11
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,24952.04,11109.26
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,3520.91,836.18
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,64159.92,28637.96
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,10789.39,3250.55
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,12352.21,2035.48
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,2071903.41,568236.6
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OFFICE TOTALS:,2071903.41,568236.6
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2246906.79,621424.99
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,TRAVEL,3269.77,-148.14
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,30715.73,15139.91
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2457.5,257.5
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,266801.94,128313.7
